"artist/25058","MF Doom","https://www.discogs.com/artist/25058-MF-Doom","ARTIST"
"artist/113391","King Ghidra","https://www.discogs.com/artist/113391-King-Ghidra","ARTIST"
"artist/143795","Viktor Vaughn","https://www.discogs.com/artist/143795-Viktor-Vaughn","ARTIST"
"artist/188739","Metal Fingers","https://www.discogs.com/artist/188739-Metal-Fingers","ARTIST"
"artist/207226","Zev Love X","https://www.discogs.com/artist/207226-Zev-Love-X","ARTIST"
"artist/528596","The Super Villain","https://www.discogs.com/artist/528596-The-Super-Villain","ARTIST"
"artist/661049","Sci.Fly","https://www.discogs.com/artist/661049-SciFly","ARTIST"
"artist/701676","Daniel Dumile","https://www.discogs.com/artist/701676-Daniel-Dumile","ARTIST"
"artist/1500203","Daniel Thompson (4)","https://www.discogs.com/artist/1500203-Daniel-Thompson-4","ARTIST"
"artist/4556570","The Metal Finger Villain","https://www.discogs.com/artist/4556570-The-Metal-Finger-Villain","ARTIST"
"artist/4725188","King Dumile","https://www.discogs.com/artist/4725188-King-Dumile","ARTIST"
"artist/4906755","The Emef","https://www.discogs.com/artist/4906755-The-Emef","ARTIST"
"artist/117240","Mr. Fantastik","https://www.discogs.com/artist/117240-Mr-Fantastik","ARTIST"
"artist/117242","Hassan Chop","https://www.discogs.com/artist/117242-Hassan-Chop","ARTIST"
"artist/113398","E. Mason","https://www.discogs.com/artist/113398-E-Mason","ARTIST"
"artist/117234","Biolante","https://www.discogs.com/artist/117234-Biolante","ARTIST"
"artist/117235","Gigan","https://www.discogs.com/artist/117235-Gigan","ARTIST"
"artist/186438","Stacy Epps","https://www.discogs.com/artist/186438-Stacy-Epps","ARTIST"
"artist/117237","ID 4 Winds","https://www.discogs.com/artist/117237-ID-4-Winds","ARTIST"
"artist/117236","Lil' Sci","https://www.discogs.com/artist/117236-Lil-Sci","ARTIST"
"artist/117238","Stahhr","https://www.discogs.com/artist/117238-Stahhr","ARTIST"
"artist/117239","Jet-Jaguar","https://www.discogs.com/artist/117239-Jet-Jaguar","ARTIST"
"artist/113393","Rodan","https://www.discogs.com/artist/113393-Rodan","ARTIST"
"artist/117241","Trunks","https://www.discogs.com/artist/117241-Trunks","ARTIST"
"artist/113394","Megalon (2)","https://www.discogs.com/artist/113394-Megalon-2","ARTIST"
"artist/189698","Kamackeris","https://www.discogs.com/artist/189698-Kamackeris","ARTIST"
"artist/113396","Kong (2)","https://www.discogs.com/artist/113396-Kong-2","ARTIST"
"artist/189695","Johnny Balsamo","https://www.discogs.com/artist/189695-Johnny-Balsamo","ARTIST"
"artist/189697","King Ceasar","https://www.discogs.com/artist/189697-King-Ceasar","ARTIST"
"artist/144794","Spiega","https://www.discogs.com/artist/144794-Spiega","ARTIST"
"artist/12596","James Brown","https://www.discogs.com/artist/12596-James-Brown","ARTIST"
"artist/103226","X-Ray (3)","https://www.discogs.com/artist/103226-X-Ray-3","ARTIST"
"artist/189696","Angela Workman","https://www.discogs.com/artist/189696-Angela-Workman","ARTIST"
"artist/354816","John Robinson (3)","https://www.discogs.com/artist/354816-John-Robinson-3","ARTIST"
"artist/133868","4-Ize","https://www.discogs.com/artist/133868-4-Ize","ARTIST"
"artist/3139859","Anjelika","https://www.discogs.com/artist/3139859-Anjelika","ARTIST"
