"041iTeoMIwXMlShuQPIVKo","Klangkarussell",0.66,"https://open.spotify.com/artist/041iTeoMIwXMlShuQPIVKo","ARTIST"
"3MyFDtqB80WZvbtCZRsekM","Bakermat",0.67,"https://open.spotify.com/artist/3MyFDtqB80WZvbtCZRsekM","ARTIST"
"6HQ6vf4AloXyVNdyJhrX1J","GAMPER & DADONI",0.66,"https://open.spotify.com/artist/6HQ6vf4AloXyVNdyJhrX1J","ARTIST"
"7vHAcPVlEDksRsCfkez2CD","SRTW",0.61,"https://open.spotify.com/artist/7vHAcPVlEDksRsCfkez2CD","ARTIST"
"5zSWGyWE5d0PYaYrtdVwOz","Y.V.E. 48",0.6,"https://open.spotify.com/artist/5zSWGyWE5d0PYaYrtdVwOz","ARTIST"
"5OReTeTBZ578sj07hDS0x7","Alex Schulz",0.54,"https://open.spotify.com/artist/5OReTeTBZ578sj07hDS0x7","ARTIST"
"0esUZwk3FcZiAH1fXa66dU","Max Manie",0.49,"https://open.spotify.com/artist/0esUZwk3FcZiAH1fXa66dU","ARTIST"
"4S8NmgM7oJ188sKp1waZpy","Möwe",0.61,"https://open.spotify.com/artist/4S8NmgM7oJ188sKp1waZpy","ARTIST"
"1LFGVkNRmXz8jIkyPjaGNL","De Hofnar",0.55,"https://open.spotify.com/artist/1LFGVkNRmXz8jIkyPjaGNL","ARTIST"
"2SfhiNVhk8w8xCQ89P3NPU","Sons Of Maria",0.55,"https://open.spotify.com/artist/2SfhiNVhk8w8xCQ89P3NPU","ARTIST"
"0nwid3SFCGyXxnllTHzHPd","Nicolas Haelg",0.53,"https://open.spotify.com/artist/0nwid3SFCGyXxnllTHzHPd","ARTIST"
"23BtKJexFLn0Ri6s7BEC4d","Vijay & Sofia Zlatko",0.51,"https://open.spotify.com/artist/23BtKJexFLn0Ri6s7BEC4d","ARTIST"
"7HIN94LvSDgxN5RoOLi3E5","Dimmi",0.48,"https://open.spotify.com/artist/7HIN94LvSDgxN5RoOLi3E5","ARTIST"
"0uGApGjjFXKwUOAqYBeX7B","Deepend",0.63,"https://open.spotify.com/artist/0uGApGjjFXKwUOAqYBeX7B","ARTIST"
"2ekaInISzbZNipWYe5y7IU","Nexeri",0.48,"https://open.spotify.com/artist/2ekaInISzbZNipWYe5y7IU","ARTIST"
"69VkQLf4DH7GJ68BCDOPKL","Campsite Dream",0.56,"https://open.spotify.com/artist/69VkQLf4DH7GJ68BCDOPKL","ARTIST"
"6J0Y4CoGMKL5RyeozHnVKl","FDVM",0.51,"https://open.spotify.com/artist/6J0Y4CoGMKL5RyeozHnVKl","ARTIST"
"04m3oUGzjO3EJTQidFzTgM","Nora Van Elken",0.63,"https://open.spotify.com/artist/04m3oUGzjO3EJTQidFzTgM","ARTIST"
"7l7IyxqOyGDSU6iF4FzisA","Adon",0.53,"https://open.spotify.com/artist/7l7IyxqOyGDSU6iF4FzisA","ARTIST"
"5344K3N7rx7kw1HjO8psuq","James Carter",0.59,"https://open.spotify.com/artist/5344K3N7rx7kw1HjO8psuq","ARTIST"
"2IjiuEObrCKyZvSb8xLxG9","filous",0.6,"https://open.spotify.com/artist/2IjiuEObrCKyZvSb8xLxG9","ARTIST"
"7pKvjpj0hmP1nnj34y9TlY","minite",0.51,"https://open.spotify.com/artist/7pKvjpj0hmP1nnj34y9TlY","ARTIST"
"5SZUMeZ1O9tcgkSkkx1dFy","Viva La Panda",0.53,"https://open.spotify.com/artist/5SZUMeZ1O9tcgkSkkx1dFy","ARTIST"
"7vO5wbzI9RdVYlOGFL2ofk","NLSN",0.57,"https://open.spotify.com/artist/7vO5wbzI9RdVYlOGFL2ofk","ARTIST"
"0ClVe54tk9xP1FBVdFWnWi","Paratone",0.49,"https://open.spotify.com/artist/0ClVe54tk9xP1FBVdFWnWi","ARTIST"
"6IbEdXQyS4jMvheGTgKtSr","J Lisk",0.51,"https://open.spotify.com/artist/6IbEdXQyS4jMvheGTgKtSr","ARTIST"
"66GofoGxQ1OAlCvfPRI90x","No Treasure",0.54,"https://open.spotify.com/artist/66GofoGxQ1OAlCvfPRI90x","ARTIST"
"7qZUlT9qGTM05VsbBkBuWi","KYDS",0.51,"https://open.spotify.com/artist/7qZUlT9qGTM05VsbBkBuWi","ARTIST"
"1voJnUcEoYhOptkLklUsVL","Pool Blue",0.51,"https://open.spotify.com/artist/1voJnUcEoYhOptkLklUsVL","ARTIST"
"65Uy8U5VKTrqB70p39OLsH","COLIN",0.55,"https://open.spotify.com/artist/65Uy8U5VKTrqB70p39OLsH","ARTIST"
