"release/1004918","Radio Mix","https://www.discogs.com/M83-Radio-Mix/master/1004918","RELEASE"
"release/2121155","New York - The Sex, The City, The Music","https://www.discogs.com/Various-New-York-The-SexCityMusic/release/2121155","RELEASE"
"release/16172050","New York - The Sex, The City, The Music","https://www.discogs.com/Various-New-York-The-SexCityMusic/release/16172050","RELEASE"
"release/2295238","Nu Hip Hop","https://www.discogs.com/Various-Nu-Hip-Hop/release/2295238","RELEASE"
"release/4837945","Well Deep: Ten Years Of Big Dada Recordings","https://www.discogs.com/Various-Well-Deep-Ten-Years-Of-Big-Dada-Recordings/release/4837945","RELEASE"
"release/161900","Well Deep (Ten Years Of Big Dada Recordings)","https://www.discogs.com/Various-Well-Deep-Ten-Years-Of-Big-Dada-Recordings/master/161900","RELEASE"
"release/102082","You Don't Know: Ninja Cuts","https://www.discogs.com/Various-You-Dont-Know-Ninja-Cuts/master/102082","RELEASE"
"release/78735","You Don't Know Ninja Cuts DJ Food's 1000 Masks Mix","https://www.discogs.com/DJ-Food-You-Dont-Know-Ninja-Cuts-DJ-Foods-1000-Masks-Mix/master/78735","RELEASE"
"release/283194","Ninja Tune XX: 20 Years Of Beats & Pieces","https://www.discogs.com/Various-Ninja-Tune-XX-20-Years-Of-Beats-Pieces/master/283194","RELEASE"
"release/5468694","RA.405","https://www.discogs.com/Galcher-Lustwerk-RA405/release/5468694","RELEASE"
"release/12091147","Later '90s/Early '2000s Underground Rap Takeover","https://www.discogs.com/Pictureplane-Later-90sEarly-2000s-Underground-Rap-Takeover/release/12091147","RELEASE"
"release/14179322","Nova Classics : Hip Hop 01","https://www.discogs.com/Various-Nova-Classics-Hip-Hop-01/release/14179322","RELEASE"
"release/1717818","La Leçon!!","https://www.discogs.com/The-Freshmakers-La-Le%C3%A7on/release/1717818","RELEASE"
"release/3505217","Underground Emcees Pt.5: Blowin Up","https://www.discogs.com/ABomb-Underground-Emcees-Pt5-Blowin-Up/release/3505217","RELEASE"
"release/3692391","No Half Steppin","https://www.discogs.com/Flip-Sanderz-No-Half-Steppin/release/3692391","RELEASE"
"release/6112332"," Ugly Mac Beer Invasion II: Happy... Doomsday","https://www.discogs.com/Ugly-Mac-Beer-Ugly-Mac-Beer-Invasion-II-Happy-Doomsday/release/6112332","RELEASE"
"release/610939","Ugly Mac Beer Invasion:The Unofficial MF Doom Mixtape","https://www.discogs.com/Ugly-Mac-Beer-Ugly-Mac-Beer-InvasionThe-Unofficial-MF-Doom-Mixtape/release/610939","RELEASE"
"release/3644189","The Many Faces Of Doom","https://www.discogs.com/MF-Doom-The-Many-Faces-Of-Doom/release/3644189","RELEASE"
"release/193642","Dead Bent / Gas Drawls / Hey!","https://www.discogs.com/MF-Doom-Dead-Bent-Gas-Drawls-Hey/release/193642","RELEASE"
"release/180885","The M.I.C. ","https://www.discogs.com/MF-Doom-The-MIC-/release/180885","RELEASE"
"release/265951","I Hear Voices","https://www.discogs.com/MF-Doom-I-Hear-Voices/master/265951","RELEASE"
"release/4239982","Verbal Animé / It Ain't Nuttin'","https://www.discogs.com/The-Herbaliser-Feat-Rakaa-Iriscience-MF-Doom-Verbal-Anim%C3%A9-It-Aint-Nuttin/release/4239982","RELEASE"
"release/191200","Blackberry Records Presents: On Deadly Ground","https://www.discogs.com/Psycho-8-Rip-One-Vs-Iriscience-Babu-Blackberry-Records-Presents-On-Deadly-Ground/master/191200","RELEASE"
"release/699515","The Unbound Project, Vol. 1","https://www.discogs.com/Talib-Kweli-Hi-Tek-Rakaa-Iriscience-The-Unbound-Project-Vol-1/master/699515","RELEASE"
"release/697966","Pay Attention","https://www.discogs.com/Babu-Iriscience-Pay-Attention/release/697966","RELEASE"
"release/34578","Good Girl Gone Bad B/W Verbal Animé","https://www.discogs.com/The-Herbaliser-Feat-Wildflower-Rakaa-Iriscience-Good-Girl-Gone-Bad-BW-Verbal-Anim%C3%A9/master/34578","RELEASE"
"release/1802428","L.A. Deck","https://www.discogs.com/DJ-Deckstream-Featuring-Visionaries-Rakaa-Iriscience-DJ-Babu-LA-Deck/release/1802428","RELEASE"
"release/2492978","The Delilah EP","https://www.discogs.com/Rakaa-The-Delilah-EP/release/2492978","RELEASE"
"release/279511","Crown Of Thorns","https://www.discogs.com/Rakaa-Crown-Of-Thorns/master/279511","RELEASE"
"release/3367046","New Maps","https://www.discogs.com/Metro-15-Rakaa-DJ-Babu-New-Maps/release/3367046","RELEASE"
"release/6914900","That Slap (Remix) - Black Silver ft. Ras Kass & Rakaa","https://www.discogs.com/Black-Silver-Ras-Kass-Rakaa-Iriscience-DJ-Obi-That-Slap-Remix-Black-Silver-ft-Ras-Kass-Rakaa/release/6914900","RELEASE"
"release/12839705","To The Fullest","https://www.discogs.com/Reks-Masta-Ace-Rakaa-Iriscience-To-The-Fullest/release/12839705","RELEASE"
"release/2280459","Don't Make Me Over","https://www.discogs.com/Moomin-Dont-Make-Me-Over/release/2280459","RELEASE"
"release/456803","Bullet Train","https://www.discogs.com/Dilated-Peoples-Bullet-Train/release/456803","RELEASE"
"release/66401","Neighborhood Watch","https://www.discogs.com/Dilated-Peoples-Neighborhood-Watch/master/66401","RELEASE"
"release/623918","'U Call Dis A Mixed Tape?'  Piece Of Shit Vol. 4","https://www.discogs.com/Rhettmatic-U-Call-Dis-A-Mixed-Tape-Piece-Of-Shit-Vol-4/master/623918","RELEASE"
"release/122616","The Troubleshooters","https://www.discogs.com/Funkdoobiest-The-Troubleshooters/master/122616","RELEASE"
"release/81415","Exitos Y Mas Exitos","https://www.discogs.com/Of-Mexican-Descent-Exitos-Y-Mas-Exitos/master/81415","RELEASE"
